,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
271,2021-01-10,22351272,259534,247818.56906977194,378965,3256,3337.006847146843,378965
272,2021-01-11,22564648,213376,244993.0286957731,381069,2104,3364.627045886756,381069
273,2021-01-12,22775465,210817,240732.9125071435,382905,1836,3375.9808131188856,382905
274,2021-01-13,22994386,218921,235214.40629117723,387294,4389,3372.108262106801,387294
275,2021-01-14,23224228,229842,228661.22588691415,391312,4018,3354.9261766054656,391312
276,2021-01-15,23462271,238043,221330.66079510743,395104,3792,3327.0841928139157,395104
277,2021-01-16,23709211,246940,213498.24673006902,398916,3812,3291.7710425634505,398916
278,2021-01-17,23917843,208632,205441.98191627368,402493,3577,3252.4840122057344,402493
279,2021-01-18,24094518,176675,197427.0067329797,404484,1991,3212.777520760734,404484
280,2021-01-19,24235601,141083,189691.618421192,406049,1565,3176.008355708684,406049
281,2021-01-20,24399887,164286,182435.39542638103,408450,2401,3145.095488672157,408450
282,2021-01-21,24585281,185394,175810.0656527909,412892,4442,3122.3114817412093,412892
283,2021-01-22,24777591,192310,169913.57788629856,417029,4137,3109.1203409975265,417029
284,2021-01-23,24967120,189529,164787.63624402694,420806,3777,3106.0734237961997,420806
285,2021-01-24,25141997,174877,160418.7454414617,424362,3556,3112.7708915241783,424362
286,2021-01-25,25279828,137831,156742.60239330947,426220,1858,3127.8915180046097,426220
287,2021-01-26,25421949,142121,153651.46971698414,427990,1770,3149.2887584751134,427990
288,2021-01-27,25566731,144782,151003.9909883516,431972,3982,3174.146217071438,431972
289,2021-01-28,25721867,155136,148636.76667737123,436100,4128,3199.1813752270123,436100
290,2021-01-29,25889303,167436,146376.9121524666,439950,3850,3220.8829767874204,439950
291,2021-01-30,26055141,165838,144054.7710260818,443549,3599,3235.7650651558215,443549
292,2021-01-31,26200811,145670,141515.96147789113,446450,2901,3240.6195106370837,446450
293,2021-02-01,26316240,115429,138631.98984346635,448407,1957,3232.749035920882,448407
294,2021-02-02,26445632,129392,135308.7711751974,450184,1777,3210.164227973157,450184
295,2021-02-03,26559499,113867,131492.54395921112,453717,3533,3171.730700617696,453717
296,2021-02-04,26682606,123107,127172.84616071182,457634,3917,3117.256239492953,457634
297,2021-02-05,26806544,123938,122382.42044747727,461518,3884,3047.5121421545887,461518
298,2021-02-06,26938205,131661,117194.12444596447,465192,3674,2964.1877313613695,465192
299,2021-02-07,27049141,110936,111715.12319249367,467929,2737,2869.7818132583657,467929
300,2021-02-08,27141041,91900,106078.82182175749,469406,1477,2767.439319589574,469406
301,2021-02-09,27226044,85003,100435.14451697505,470857,1451,2660.7451877369313,470857
302,2021-02-10,27320646,94602,94939.87053477604,473922,3065,2553.4904206025053,473922
303,2021-02-11,27416458,95812,89743.79237441072,477328,3406,2449.427029514398,477328
304,2021-02-12,27522763,106305,84982.46109122333,480520,3192,2352.029084292067,480520
305,2021-02-13,27622811,100048,80767.2294506713,483404,2884,2264.2763570751094,483404
306,2021-02-14,27711665,88854,77178.19911721279,485700,2296,2188.4751270560646,485700
307,2021-02-15,27777996,66331,74259.53111090354,486898,1198,2126.12777586377,486898
308,2021-02-16,27832657,54661,72017.40025554429,487847,949,2077.8590854202066,487847
309,2021-02-17,27891261,58604,70420.6775849544,489491,1644,2043.4029429517675,489491
310,2021-02-18,27961316,70055,69404.22436758823,491937,2446,2021.6487833854076,491937
311,2021-02-19,28032685,71369,68874.49253864375,494544,2607,2010.7428848830234,494544
312,2021-02-20,28110871,78186,68716.96300695761,497079,2535,2008.2358862909591,497079
313,2021-02-21,28184282,73411,68804.82767091796,499012,1933,2011.2648805317388,499012
314,2021-02-22,28242170,57888,69008.24223736441,500239,1227,2016.7563581601505,500239
315,2021-02-23,28297003,54833,69203.45062120377,501440,1201,2021.635257222679,501440
316,2021-02-24,28369029,72026,69281.10922094189,503716,2276,2023.0254623388846,503716
317,2021-02-25,28444040,75011,69153.2178858698,506980,3264,2018.428246072449,506980
318,2021-02-26,28522097,78057,68758.18706895768,509410,2430,2005.8672386549458,509410
319,2021-02-27,28600831,78734,68063.7271912135,511565,2155,1983.9913600067036,511565
320,2021-02-28,28666895,66064,67067.42370747727,513085,1520,1952.1305118709913,513085
321,2021-03-01,28718761,51866,65795.045284521,514192,1107,1910.302437885431,514192
